2023-01-14|09:45:13|CoffeeShop|Downtown|D|4.75
2023-07-09|18:13:30|Electronics|Best Buy|D|421.62
2022-05-31|00:59:56|Online Shopping|Amazon|D|269.80
2024-02-07|04:40:27|Fast Food|McDonald's|P|-463.93
2024-08-12|16:07:44|Subscription|Netflix|D|177.38
2023-10-22|12:13:41|Hardware|Home Depot|P|-68.16
2022-12-24|15:41:09|Transport|Uber|P|-436.53
2022-06-21|20:52:26|Online Shopping|Amazon|P|-454.68
2023-02-09|11:36:08|Fast Food|McDonald's|P|-342.26
2022-09-17|01:07:57|Transport|Lyft|P|-61.00
2022-08-07|23:09:41|Online Shopping|Amazon|D|418.65
2025-10-13|20:07:20|Subscription|Netflix|D|46.41
2025-10-05|07:51:09|Retail|Target|P|-362.18
2024-07-20|16:46:32|Coffee|Starbucks|D|350.63
2022-12-19|17:35:39|Fast Food|McDonald's|D|141.55
2022-08-08|02:44:37|Gas|Shell|P|-229.06
2024-10-06|01:31:47|Electronics|Best Buy|D|327.81
2022-11-29|12:26:34|Groceries|Costco|D|66.07
2022-05-28|12:48:01|Subscription|Spotify|P|-62.70
2022-10-20|23:55:04|Electronics|Apple|D|282.11
2025-12-26|13:31:53|Transport|Lyft|P|-114.84
2024-11-06|11:59:29|Groceries|Walmart|D|332.98
2024-09-13|17:20:30|Subscription|Spotify|D|174.13
2022-12-03|20:14:00|Subscription|Spotify|P|-176.49
2025-03-05|13:22:12|Electronics|Apple|D|406.51
2022-10-29|06:47:03|Retail|Target|P|-427.06
2023-01-13|20:06:44|Gas|Shell|P|-408.37
2023-06-12|09:24:09|Transport|Lyft|D|427.91
2024-12-23|23:14:44|Transport|Uber|P|-242.48
2023-08-03|03:43:17|Pharmacy|CVS|P|-241.21
2023-01-02|11:04:18|Retail|Target|D|142.01
2022-07-21|03:58:44|Electronics|Best Buy|P|-167.05
2025-03-24|22:13:48|Fast Food|McDonald's|D|99.77
2024-05-25|12:15:38|Hardware|Home Depot|D|210.68
2025-11-08|12:18:45|Subscription|Spotify|D|458.85
2023-10-26|15:48:51|Groceries|Costco|P|-191.09
2024-02-14|02:06:20|Electronics|Apple|D|225.10
2025-04-29|19:11:50|Transport|Lyft|D|156.80
2023-01-07|19:00:32|Retail|Target|P|-489.28
2022-07-30|04:31:45|Groceries|Costco|P|-46.85
2024-04-22|16:34:15|Coffee|Starbucks|D|168.16
2023-07-13|13:50:42|Online Shopping|Amazon|D|323.45
2024-07-18|22:54:09|Hardware|Home Depot|D|201.89
2025-09-09|07:23:14|Subscription|Netflix|P|-454.18
2025-09-06|04:12:19|Hardware|Home Depot|P|-259.59
2025-07-20|00:48:15|Online Shopping|Amazon|D|200.49
2023-06-06|02:47:57|Subscription|Netflix|D|450.02
2022-07-14|01:12:58|Subscription|Spotify|P|-335.95
2022-09-30|09:55:45|Groceries|Walmart|D|22.45
2024-09-16|01:19:20|Gas|Shell|D|55.51
2023-01-24|17:32:26|Online Shopping|Amazon|P|-341.30
2024-03-31|14:52:25|Fast Food|McDonald's|D|187.37
2022-09-05|17:14:30|Coffee|Starbucks|D|89.49
2025-02-26|13:26:56|Transport|Uber|P|-72.63
2023-05-31|22:18:16|Fast Food|McDonald's|D|267.50
2023-08-05|07:53:27|Online Shopping|Amazon|P|-318.74
2024-10-01|16:17:58|Groceries|Costco|P|-234.09
2025-06-22|17:16:46|Gas|Shell|P|-405.30
2024-10-23|20:59:11|Subscription|Spotify|P|-137.12
2024-06-14|20:11:49|Electronics|Best Buy|D|250.56
2025-09-21|06:44:05|Pharmacy|CVS|P|-72.40
2024-05-09|01:59:45|Subscription|Netflix|D|478.24
2025-10-27|19:09:25|Pharmacy|CVS|P|-190.45
2022-03-17|00:52:28|Groceries|Walmart|D|42.23
2023-03-07|21:54:57|Electronics|Best Buy|D|90.48
2023-11-28|09:07:31|Retail|Target|P|-246.11
2024-09-26|10:10:04|Retail|Target|P|-107.09
2025-05-25|12:00:30|Retail|Target|P|-216.21
2025-12-24|02:44:11|Coffee|Starbucks|D|405.24
2024-01-05|01:12:04|Gas|Shell|P|-14.41
2024-04-21|10:39:33|Hardware|Home Depot|D|243.93
2024-03-26|17:37:38|Electronics|Apple|D|295.65
2023-06-07|05:42:56|Electronics|Best Buy|D|371.27
2024-05-07|19:22:33|Gas|Shell|D|252.60
2022-01-13|22:34:23|Gas|Shell|D|446.58
2024-12-02|01:39:47|Retail|Target|D|112.82
2025-05-23|05:16:50|Online Shopping|Amazon|D|247.48
2022-12-10|06:52:09|Gas|Shell|D|92.47
2024-08-09|22:20:52|Transport|Lyft|P|-166.33
2025-12-02|22:16:58|Electronics|Best Buy|D|190.62
2025-11-17|08:09:47|Fast Food|McDonald's|P|-182.16
2022-10-05|13:36:56|Subscription|Spotify|D|142.58
2025-05-26|05:18:10|Coffee|Starbucks|P|-197.02
2025-02-21|16:43:56|Coffee|Starbucks|D|193.95
2023-11-06|00:27:55|Electronics|Best Buy|D|286.01
2024-12-27|08:16:16|Groceries|Walmart|P|-369.88
2025-12-28|00:40:19|Hardware|Home Depot|D|112.73
2025-10-01|03:38:18|Groceries|Costco|D|303.14
2023-06-04|20:38:23|Online Shopping|Amazon|D|128.20
2023-01-20|20:42:55|Groceries|Walmart|P|-44.56
2023-07-07|07:06:09|Fast Food|McDonald's|P|-256.03
2025-09-30|13:05:11|Coffee|Starbucks|D|18.43
2022-11-13|13:18:43|Hardware|Home Depot|D|151.14
2024-11-16|13:18:49|Gas|Shell|D|350.83
2023-01-23|01:25:57|Transport|Lyft|P|-43.18
2022-07-02|04:06:15|Online Shopping|Amazon|P|-6.14
2023-09-17|15:55:12|Subscription|Spotify|P|-491.34
2025-10-05|11:43:51|Electronics|Apple|D|445.86
2025-05-16|05:33:29|Coffee|Starbucks|D|498.92
2023-04-22|18:16:51|Retail|Target|D|494.66
2023-01-07|20:22:41|Groceries|Walmart|P|-294.53
2022-03-01|19:44:56|Electronics|Best Buy|D|227.19
2025-12-25|00:47:57|Groceries|Costco|P|-476.58
2023-08-16|17:25:53|Subscription|Netflix|P|-183.49
2024-06-21|09:07:47|Retail|Target|D|44.82
2023-03-26|09:25:29|Subscription|Spotify|D|199.93
2023-04-07|15:59:28|Electronics|Best Buy|D|492.01
2023-06-15|10:13:32|Gas|Shell|P|-89.89
2022-11-18|11:58:10|Groceries|Walmart|P|-368.49
2022-06-23|12:23:26|Groceries|Walmart|P|-486.33
2025-08-22|16:24:44|Groceries|Costco|D|107.31
2025-07-15|12:23:27|Coffee|Starbucks|D|70.98
2025-04-28|14:31:19|Hardware|Home Depot|D|36.23
2025-02-15|13:17:58|Gas|Shell|D|141.91
2023-12-03|11:32:40|Groceries|Costco|D|3.02
2025-02-15|05:18:02|Coffee|Starbucks|P|-61.08
2023-06-02|20:19:50|Groceries|Walmart|P|-390.28
2023-01-10|10:58:51|Pharmacy|CVS|P|-181.74
2023-05-21|10:39:42|Coffee|Starbucks|D|453.13
2022-06-17|07:23:30|Coffee|Starbucks|P|-382.33
2024-03-09|02:54:44|Groceries|Walmart|P|-192.48
2024-12-17|21:06:05|Online Shopping|Amazon|P|-44.90
2023-03-25|03:40:12|Coffee|Starbucks|D|357.89
2022-11-20|10:50:33|Transport|Lyft|D|351.83
2022-12-04|02:55:24|Groceries|Walmart|D|222.02
2022-07-27|09:34:42|Hardware|Home Depot|P|-201.74
2023-08-26|20:36:27|Retail|Target|P|-82.52
2022-12-19|16:49:04|Gas|Shell|P|-204.02
2023-01-17|18:45:11|Fast Food|McDonald's|D|106.72
2022-02-01|08:13:39|Gas|Shell|D|423.63
2022-09-23|04:20:47|Fast Food|McDonald's|P|-280.60
2024-04-18|22:08:48|Retail|Target|P|-205.88
2023-01-15|17:44:52|Subscription|Spotify|P|-306.36
2023-02-10|01:26:15|Groceries|Costco|D|341.54
2023-03-11|22:46:48|Pharmacy|CVS|D|26.99
2023-05-15|23:35:01|Transport|Uber|D|179.19
2023-11-19|13:04:30|Coffee|Starbucks|D|130.94
2024-03-17|10:39:04|Transport|Lyft|D|442.32
2022-02-14|03:56:57|Transport|Lyft|P|-337.19
2023-06-23|22:57:31|Gas|Shell|D|153.42
2025-08-15|19:45:14|Subscription|Netflix|P|-360.46
2024-10-23|15:26:10|Transport|Uber|D|172.39
2024-03-23|21:14:25|Gas|Shell|P|-458.06
2023-04-18|23:22:52|Subscription|Netflix|P|-278.48
2024-10-28|18:58:58|Electronics|Apple|P|-333.21
2025-06-11|10:26:41|Groceries|Costco|D|429.69
2025-06-04|22:11:00|Subscription|Netflix|D|183.88
2024-11-25|16:23:42|Retail|Target|D|459.47
2024-01-11|09:49:35|Electronics|Apple|D|209.68
2023-06-17|03:44:17|Electronics|Best Buy|P|-158.67
2023-12-08|01:37:25|Groceries|Walmart|P|-337.81
2024-11-24|15:21:27|Gas|Shell|P|-60.28
2024-09-06|10:19:53|Gas|Shell|D|183.85
2024-11-29|08:11:13|Groceries|Costco|D|398.12
2023-09-30|07:47:24|Transport|Uber|P|-496.86
2024-09-01|11:49:14|Transport|Lyft|P|-410.41
2022-04-16|14:43:14|Pharmacy|CVS|D|231.22
2024-07-05|19:41:51|Hardware|Home Depot|D|147.98
2025-03-04|15:18:28|Subscription|Netflix|D|114.61
2024-01-24|00:30:01|Electronics|Apple|P|-310.58
2023-12-07|09:44:30|Hardware|Home Depot|D|465.35
2023-09-13|10:59:51|Retail|Target|D|426.75
2024-09-07|12:31:57|Subscription|Netflix|P|-401.04
2024-01-30|07:02:33|Retail|Target|P|-209.63
2023-01-09|08:52:26|Hardware|Home Depot|D|167.82
2025-09-23|03:33:20|Subscription|Spotify|D|217.59
2025-03-30|08:52:47|Groceries|Walmart|D|54.29
2022-05-23|09:25:33|Groceries|Walmart|D|143.09
2025-09-19|13:31:21|Hardware|Home Depot|D|344.35
2025-10-25|11:25:27|Groceries|Costco|P|-160.60
2025-09-15|15:16:10|Electronics|Apple|P|-334.98
2025-06-04|20:58:44|Subscription|Spotify|D|307.28
2023-05-09|05:27:48|Fast Food|McDonald's|P|-14.33
2024-12-17|17:11:21|Groceries|Costco|D|94.09
2025-02-19|22:05:57|Subscription|Spotify|D|498.97
2022-03-04|18:15:17|Hardware|Home Depot|P|-369.94
2022-01-03|12:28:22|Groceries|Costco|P|-372.83
2022-12-20|05:35:29|Electronics|Best Buy|D|88.60
2023-12-10|15:39:56|Retail|Target|D|36.44
2025-09-13|15:24:47|Subscription|Spotify|D|135.28
2023-03-22|13:13:08|Subscription|Netflix|P|-427.10
2025-08-08|21:35:30|Subscription|Spotify|D|285.65
2022-09-07|10:54:29|Gas|Shell|D|87.26
2025-10-22|08:06:33|Transport|Uber|D|337.39
2025-04-22|19:48:09|Retail|Target|D|453.59
2025-10-05|05:30:05|Fast Food|McDonald's|P|-71.68
2022-08-20|07:03:10|Transport|Uber|P|-427.96
2023-02-13|02:56:35|Electronics|Best Buy|D|425.97
2025-10-30|17:06:44|Transport|Uber|D|338.28
2022-10-07|00:38:34|Groceries|Costco|D|117.27
2024-09-16|05:36:02|Fast Food|McDonald's|D|451.01
2023-03-17|01:40:57|Transport|Uber|D|255.19
2023-09-21|08:57:02|Fast Food|McDonald's|D|61.09
2023-03-19|23:37:33|Electronics|Best Buy|P|-244.72
2024-12-15|14:11:36|Fast Food|McDonald's|D|25.53
2023-05-06|14:39:35|Transport|Uber|P|-188.08
2022-04-01|18:17:24|Pharmacy|CVS|D|140.82
2023-12-13|18:51:02|Subscription|Spotify|D|312.43
2023-07-24|18:40:11|Pharmacy|CVS|P|-392.11
2023-01-19|14:34:38|Hardware|Home Depot|P|-334.11
2023-07-01|06:43:37|Electronics|Best Buy|D|410.19
2023-12-29|21:06:54|Subscription|Spotify|P|-408.23
2024-01-15|09:32:07|Groceries|Walmart|D|499.92
2022-01-18|05:55:07|Subscription|Spotify|D|494.30
2025-12-19|22:29:20|Groceries|Walmart|D|479.28
2024-06-19|08:57:04|Groceries|Walmart|P|-233.22
2022-02-21|18:22:11|Transport|Lyft|P|-308.60
2022-04-29|01:53:07|Gas|Shell|P|-198.15
2025-06-03|20:15:37|Online Shopping|Amazon|P|-163.61
2023-06-26|02:06:00|Transport|Uber|P|-246.80
2022-08-25|14:50:54|Subscription|Spotify|P|-281.31
2025-08-28|16:31:38|Fast Food|McDonald's|P|-226.15
2025-07-28|21:25:50|Hardware|Home Depot|P|-19.73
2023-01-24|10:29:02|Pharmacy|CVS|D|206.51
2023-12-18|18:00:12|Groceries|Costco|P|-477.17
2023-09-22|07:26:32|Groceries|Walmart|P|-219.98
2025-02-16|01:31:52|Groceries|Costco|P|-280.05
2023-10-19|21:45:15|Transport|Lyft|P|-128.08
2024-09-09|07:35:14|Groceries|Costco|P|-250.00
2025-06-07|22:11:44|Transport|Uber|D|95.18
2022-02-07|16:57:25|Hardware|Home Depot|D|171.20
2022-02-14|15:43:24|Transport|Lyft|D|377.87
2023-08-12|06:46:58|Groceries|Costco|D|67.86
2025-12-28|17:15:49|Groceries|Walmart|D|258.87
2023-06-25|23:25:43|Subscription|Spotify|P|-124.53
2025-08-21|23:14:19|Transport|Uber|D|59.11
2023-07-06|15:02:10|Transport|Uber|P|-288.64
2022-05-23|09:05:21|Electronics|Best Buy|P|-319.98
2024-10-27|15:04:33|Transport|Lyft|P|-415.29
2025-05-19|22:48:52|Gas|Shell|D|298.19
2025-07-03|07:22:45|Transport|Uber|D|419.10
2022-11-23|19:20:54|Subscription|Netflix|D|392.00
2022-04-30|17:04:19|Groceries|Costco|P|-24.25
2024-05-05|18:40:36|Groceries|Walmart|P|-430.69
2022-01-10|16:02:17|Subscription|Spotify|D|184.45
2023-07-02|07:20:58|Pharmacy|CVS|P|-80.96
2024-05-24|06:35:06|Subscription|Netflix|P|-300.27
2024-03-28|12:18:34|Hardware|Home Depot|D|126.01
2024-07-05|13:58:32|Gas|Shell|D|330.97
2022-01-13|21:51:08|Transport|Uber|D|216.83
2025-04-09|06:03:42|Subscription|Netflix|D|151.17
2024-02-18|00:05:56|Fast Food|McDonald's|D|30.33
2023-02-08|16:48:22|Subscription|Netflix|P|-168.79
2024-12-19|22:09:22|Gas|Shell|D|41.25
2024-09-27|00:52:29|Electronics|Best Buy|P|-413.91
2022-02-19|15:58:16|Fast Food|McDonald's|D|425.48
2022-05-06|14:45:09|Pharmacy|CVS|D|45.27
2025-09-30|12:40:16|Pharmacy|CVS|D|95.35
2023-09-01|06:36:06|Pharmacy|CVS|D|184.34
2025-10-23|18:25:00|Electronics|Apple|D|443.73
2024-04-23|18:55:49|Retail|Target|D|432.45
2023-07-30|19:53:26|Online Shopping|Amazon|D|151.02
2023-01-15|16:20:25|Subscription|Netflix|D|71.15
2025-04-16|09:42:53|Electronics|Apple|D|247.47
2023-12-24|02:27:29|Pharmacy|CVS|P|-49.17
2024-09-15|16:30:36|Subscription|Spotify|D|285.65
2024-09-07|02:26:31|Hardware|Home Depot|D|177.51
2022-02-24|01:08:54|Groceries|Walmart|D|265.24
2024-04-12|22:13:29|Online Shopping|Amazon|P|-61.77
2023-12-31|16:36:42|Retail|Target|D|64.16
2022-01-02|16:50:26|Pharmacy|CVS|P|-259.63
2024-12-15|22:26:11|Groceries|Walmart|D|46.54
2023-04-06|06:34:15|Online Shopping|Amazon|P|-57.93
2024-11-02|21:30:14|Coffee|Starbucks|D|421.86
2024-11-29|05:04:57|Online Shopping|Amazon|D|25.27
2024-02-29|18:02:36|Gas|Shell|P|-211.00
2025-02-18|20:24:35|Electronics|Apple|P|-285.31
2024-07-31|10:13:53|Subscription|Netflix|P|-294.35
2022-04-10|04:58:36|Pharmacy|CVS|D|410.98
2025-07-12|10:21:54|Fast Food|McDonald's|D|302.85
2024-04-09|08:18:48|Subscription|Spotify|P|-343.08
2024-05-08|03:45:29|Retail|Target|D|234.90
2023-12-13|17:10:31|Hardware|Home Depot|D|140.84
2025-04-27|09:09:01|Electronics|Apple|D|72.72
2024-11-23|21:25:46|Electronics|Best Buy|D|225.37
2023-03-08|17:29:37|Transport|Lyft|P|-106.46
2023-07-06|05:58:56|Hardware|Home Depot|P|-193.62
2023-10-11|13:45:48|Gas|Shell|D|294.91
2024-12-16|02:00:36|Online Shopping|Amazon|D|315.74
2024-03-03|10:01:53|Gas|Shell|P|-239.93
2023-11-14|13:17:02|Transport|Uber|P|-13.73
2022-01-22|17:34:59|Electronics|Apple|D|494.09
2023-05-02|16:51:16|Transport|Lyft|P|-480.92
2023-10-27|07:00:20|Coffee|Starbucks|D|240.63
2025-05-10|22:11:30|Online Shopping|Amazon|D|325.45
2025-02-15|03:05:42|Retail|Target|P|-332.22
2025-06-19|14:19:00|Subscription|Netflix|P|-45.79
2025-10-19|14:49:22|Transport|Uber|P|-479.53
2023-09-13|03:40:58|Electronics|Best Buy|P|-144.40
2024-12-01|13:34:46|Electronics|Best Buy|D|112.91
2022-04-17|23:00:35|Coffee|Starbucks|P|-77.72
2022-12-11|23:26:58|Online Shopping|Amazon|P|-387.24
2025-12-28|08:31:48|Transport|Uber|P|-244.85
2024-10-16|02:28:25|Electronics|Best Buy|D|387.63
2025-06-10|22:46:40|Hardware|Home Depot|D|477.09
2025-02-19|05:35:01|Transport|Lyft|P|-347.94
2022-06-26|14:52:39|Hardware|Home Depot|D|75.73
2023-06-23|03:07:45|Fast Food|McDonald's|P|-84.19
2023-10-16|13:42:11|Groceries|Costco|D|308.84
2025-10-06|13:18:51|Retail|Target|P|-436.76
2022-05-27|23:10:44|Fast Food|McDonald's|D|311.33
2024-10-20|13:50:14|Retail|Target|P|-127.17
2023-06-07|23:20:22|Coffee|Starbucks|P|-167.08
2022-10-23|09:51:11|Retail|Target|P|-147.21
2024-04-19|20:12:11|Retail|Target|D|279.47
2022-11-15|05:23:42|Groceries|Costco|P|-232.92
2024-09-01|14:34:49|Electronics|Best Buy|D|445.03
2022-09-28|15:26:12|Online Shopping|Amazon|P|-76.67
2023-08-13|17:05:34|Pharmacy|CVS|D|221.63
2022-08-17|16:56:04|Subscription|Netflix|D|25.43
2023-06-24|11:53:09|Fast Food|McDonald's|D|399.84
2025-10-31|02:29:55|Groceries|Costco|P|-84.50
2025-10-27|04:43:47|Retail|Target|D|214.20
2023-09-18|16:03:08|Electronics|Apple|P|-398.34
2025-07-14|16:15:31|Transport|Uber|D|76.05
2025-12-18|04:16:03|Groceries|Walmart|D|340.41
2025-01-13|01:31:28|Hardware|Home Depot|D|186.81
2022-12-19|00:02:55|Groceries|Costco|P|-199.80
2023-03-25|07:24:18|Subscription|Netflix|P|-320.16
2023-06-09|22:18:56|Transport|Lyft|D|375.22
2022-01-22|18:39:48|Hardware|Home Depot|P|-313.78
2024-12-08|12:33:09|Online Shopping|Amazon|P|-42.94
2025-09-21|16:50:47|Pharmacy|CVS|D|497.86
2024-06-23|01:52:39|Transport|Uber|D|232.35
2022-03-09|09:55:09|Subscription|Netflix|P|-344.80
2024-03-28|17:48:20|Online Shopping|Amazon|D|97.48
2023-05-19|18:13:48|Transport|Lyft|D|261.29
2022-02-06|01:20:00|Transport|Lyft|D|352.47
2025-11-17|22:50:24|Groceries|Costco|P|-289.26
2023-03-10|08:50:22|Electronics|Best Buy|P|-443.80
2025-08-16|21:45:03|Gas|Shell|P|-203.58
2025-02-09|04:51:58|Subscription|Spotify|P|-349.28
2025-03-04|09:06:09|Subscription|Spotify|P|-391.22
2023-12-19|01:50:03|Transport|Lyft|P|-322.83
2025-03-05|11:48:40|Online Shopping|Amazon|D|15.66
2022-03-29|07:36:29|Groceries|Walmart|D|114.16
2025-01-13|12:26:51|Transport|Uber|D|245.70
2022-08-01|22:39:23|Transport|Lyft|P|-128.62
2023-03-23|15:44:46|Transport|Lyft|D|373.63
2025-03-13|16:48:31|Transport|Lyft|D|157.90
2023-12-20|07:13:17|Electronics|Best Buy|P|-258.48
2023-08-30|16:01:08|Transport|Lyft|D|420.90
2022-09-01|14:49:42|Transport|Lyft|D|203.24
2022-02-25|22:35:28|Transport|Lyft|D|412.27
2023-09-01|10:28:23|Electronics|Apple|D|404.63
2024-10-18|18:43:01|Electronics|Apple|D|195.20
2024-08-19|20:55:54|Coffee|Starbucks|D|61.99
2023-06-09|22:48:08|Pharmacy|CVS|P|-345.49
2025-06-18|06:16:01|Subscription|Netflix|P|-277.27
2025-07-12|18:10:44|Coffee|Starbucks|P|-407.87
2024-12-23|17:50:56|Gas|Shell|D|423.15
2024-04-22|18:42:23|Subscription|Spotify|P|-103.36
2025-05-13|15:51:45|Groceries|Costco|P|-333.06
2023-05-30|12:58:42|Fast Food|McDonald's|P|-175.24
2024-07-16|16:42:13|Electronics|Best Buy|P|-83.63
2024-09-30|20:53:38|Electronics|Apple|D|41.71
2022-08-27|05:09:20|Electronics|Apple|P|-208.54
2022-11-08|01:04:50|Pharmacy|CVS|D|152.98
2022-03-22|13:32:29|Gas|Shell|P|-39.12
2025-11-01|07:34:40|Electronics|Best Buy|P|-17.95
2024-09-29|22:41:14|Gas|Shell|D|126.13
2023-12-15|07:21:09|Online Shopping|Amazon|P|-335.47
2022-07-06|20:22:16|Groceries|Walmart|D|301.26
2024-03-09|19:02:05|Retail|Target|P|-304.00
2025-06-28|21:45:49|Fast Food|McDonald's|P|-135.14
2025-10-28|06:49:12|Electronics|Best Buy|P|-136.74
2025-11-16|09:50:51|Fast Food|McDonald's|P|-470.44
2023-04-04|13:56:22|Retail|Target|D|234.62
2022-03-31|05:03:21|Coffee|Starbucks|P|-404.02
2025-08-11|01:47:46|Fast Food|McDonald's|P|-351.57
2024-10-27|03:06:20|Gas|Shell|P|-215.07
2023-10-23|13:53:53|Coffee|Starbucks|D|344.07
2023-07-10|05:13:39|Coffee|Starbucks|D|454.76
2025-11-21|10:26:23|Gas|Shell|P|-327.26
2022-03-28|01:24:08|Pharmacy|CVS|P|-441.49
2022-03-07|16:59:36|Hardware|Home Depot|P|-309.65
2022-09-22|06:02:19|Subscription|Spotify|P|-313.43
2023-03-29|06:05:36|Electronics|Apple|D|217.26
2024-04-21|15:42:56|Pharmacy|CVS|D|365.60
2023-12-16|14:00:47|Electronics|Best Buy|P|-9.47
2023-12-12|06:52:14|Hardware|Home Depot|P|-225.64
2023-03-03|15:39:01|Subscription|Spotify|P|-433.57
2024-10-11|11:13:04|Electronics|Best Buy|P|-32.06
2024-04-21|07:19:12|Subscription|Spotify|P|-380.13
2023-01-14|02:18:16|Electronics|Best Buy|P|-97.90
2025-03-21|20:46:50|Gas|Shell|D|51.90
2022-06-21|03:20:12|Retail|Target|P|-1.65
2022-02-08|06:42:28|Coffee|Starbucks|P|-270.86
2022-04-20|18:01:49|Coffee|Starbucks|P|-442.72
2023-08-31|04:34:08|Retail|Target|D|52.85
2025-10-16|13:47:27|Coffee|Starbucks|P|-219.32
2025-11-16|19:04:04|Subscription|Spotify|D|340.19
2022-11-10|02:35:20|Hardware|Home Depot|D|195.85
2022-04-19|22:50:41|Groceries|Walmart|D|425.34
2023-02-18|23:40:21|Electronics|Best Buy|P|-286.88
2023-04-09|15:14:52|Transport|Lyft|P|-402.74
2023-05-10|15:26:08|Fast Food|McDonald's|P|-322.21
2022-11-24|18:07:38|Gas|Shell|D|130.54
2024-12-01|12:24:09|Gas|Shell|D|359.34
2022-09-18|12:52:01|Transport|Lyft|D|246.97
2024-07-05|16:29:23|Gas|Shell|D|226.94
2025-08-17|17:35:00|Online Shopping|Amazon|D|31.71
2023-08-19|20:01:25|Pharmacy|CVS|D|365.10
2025-09-06|17:26:20|Transport|Lyft|P|-107.89
2023-02-05|19:27:41|Gas|Shell|D|332.37
2023-07-03|14:13:31|Electronics|Best Buy|D|162.22
2025-05-28|06:55:38|Subscription|Spotify|P|-355.61
2024-05-23|10:02:03|Groceries|Costco|P|-392.44
2022-01-02|01:51:50|Electronics|Best Buy|D|183.36
2023-09-21|02:07:11|Transport|Lyft|D|380.09
2025-07-19|14:46:22|Online Shopping|Amazon|D|129.79
2022-09-20|03:48:38|Groceries|Walmart|P|-70.02
2022-10-15|05:52:24|Online Shopping|Amazon|P|-360.68
2024-05-06|11:45:26|Fast Food|McDonald's|P|-326.06
2025-01-08|21:49:07|Transport|Lyft|P|-122.47
2023-09-22|17:35:11|Subscription|Netflix|D|41.70
2024-03-31|05:04:04|Fast Food|McDonald's|D|290.56
2022-03-18|14:14:47|Pharmacy|CVS|P|-122.86
2022-07-25|11:30:32|Gas|Shell|P|-293.56
2024-07-13|23:57:44|Transport|Lyft|P|-229.88
2022-08-12|04:47:06|Coffee|Starbucks|D|317.16
2025-03-21|21:03:19|Gas|Shell|D|403.74
2024-07-29|02:25:17|Online Shopping|Amazon|P|-320.29
2025-10-05|00:08:07|Subscription|Spotify|P|-404.76
2024-03-11|13:44:11|Fast Food|McDonald's|P|-227.23
2023-10-07|10:29:23|Subscription|Spotify|D|191.73
2023-04-14|02:33:49|Transport|Lyft|P|-172.05
2023-08-21|00:39:21|Transport|Lyft|D|395.49
2025-08-14|03:29:38|Electronics|Best Buy|D|404.42
2022-08-17|19:39:10|Electronics|Best Buy|P|-176.33
2024-09-05|21:45:42|Subscription|Spotify|D|163.93
2025-05-02|16:02:56|Transport|Lyft|P|-292.55
2023-04-16|21:04:15|Subscription|Spotify|P|-424.55
2023-05-16|05:10:49|Coffee|Starbucks|D|155.21
2024-03-02|11:42:44|Gas|Shell|P|-235.38
2024-01-06|19:29:58|Online Shopping|Amazon|D|351.08
2023-10-06|15:42:48|Hardware|Home Depot|D|313.86
2023-12-13|02:50:12|Transport|Lyft|D|27.90
2023-10-10|23:33:05|Fast Food|McDonald's|P|-9.28
2024-09-17|22:49:03|Hardware|Home Depot|P|-84.62
2022-07-24|14:16:46|Retail|Target|P|-286.97
2024-04-29|21:20:04|Gas|Shell|P|-361.72
2024-02-21|23:12:08|Electronics|Best Buy|D|271.59
2023-03-03|01:56:36|Retail|Target|P|-333.30
2022-09-23|06:16:03|Subscription|Spotify|P|-434.61
2022-07-29|11:01:37|Subscription|Spotify|D|378.71
2022-01-14|02:54:36|Pharmacy|CVS|D|305.78
2025-06-15|11:02:53|Coffee|Starbucks|D|408.97
2024-08-28|04:47:31|Groceries|Walmart|D|263.69
2023-12-19|19:14:34|Transport|Lyft|D|49.71
2025-03-04|00:49:29|Subscription|Netflix|D|398.77
2023-03-30|05:14:55|Fast Food|McDonald's|P|-208.57
2024-08-25|03:58:20|Coffee|Starbucks|D|465.47
2024-07-22|16:44:32|Groceries|Costco|D|481.43
2022-03-11|20:20:58|Fast Food|McDonald's|P|-255.78
2022-12-10|10:32:44|Retail|Target|D|63.44
2025-10-11|02:50:21|Fast Food|McDonald's|D|195.82
2022-02-22|06:10:26|Subscription|Netflix|D|245.20
2023-01-14|06:44:01|Online Shopping|Amazon|D|156.18
2024-12-29|07:46:32|Groceries|Walmart|P|-84.20
2023-10-17|16:41:28|Retail|Target|D|488.04
2025-09-15|11:15:26|Subscription|Netflix|D|464.44
2023-08-17|01:23:45|Electronics|Apple|P|-335.44
2022-10-30|06:44:21|Gas|Shell|D|132.57
2023-01-10|13:28:24|Hardware|Home Depot|P|-294.15
2024-06-06|23:12:46|Subscription|Netflix|D|276.39
2025-02-08|18:59:19|Fast Food|McDonald's|D|416.03
2024-06-20|07:15:19|Pharmacy|CVS|D|375.24
2023-10-04|20:46:58|Transport|Uber|P|-224.42
2025-04-08|15:56:13|Electronics|Apple|P|-427.58
2023-11-14|01:36:47|Online Shopping|Amazon|D|464.50
2022-08-19|15:59:29|Hardware|Home Depot|P|-496.24
2024-01-18|09:42:04|Online Shopping|Amazon|D|106.27
2023-07-25|22:13:44|Gas|Shell|D|83.19
2024-04-23|21:00:02|Pharmacy|CVS|P|-211.14
2025-05-10|23:22:46|Online Shopping|Amazon|D|243.83
2024-01-19|10:21:25|Subscription|Spotify|P|-190.62
